248.71,0,0,248.71,0.01,0.01,248.71,0.01,0.01
249.31,0,0,249.31,0.01,0.01,249.31,0.01,0.01
249.91,0,0,249.91,0.01,0.01,249.91,0.01,0.01
250.51,0,0,250.51,0.01,0.01,250.51,0.01,0.01
251.11,0,0,251.11,0.01,0.01,251.11,0.01,0.01
251.72,0,0,251.72,0.01,0.01,251.72,0.01,0.01
252.32,0,0,252.32,0.01,0.01,252.32,0.01,0.01
252.92,0,0,252.92,0.01,0.01,252.92,0.01,0.01
253.52,0,0,253.52,0.01,0.01,253.52,0.01,0.01
254.12,0,0,254.12,0.01,0.01,254.12,0.01,0.01
254.73,0,0,254.73,0.01,0.01,254.73,0.01,0.01
255.33,0,0,255.33,0.01,0.01,255.33,0.01,0.01
255.93,0,0,255.93,0.01,0.01,255.93,0.01,0.01
256.53,0,0,256.53,0.01,0.01,256.53,0.01,0.01
257.13,0,0,257.13,0.01,0.01,257.13,0.01,0.01
257.74,0,0,257.74,0.01,0.01,257.74,0.01,0.01
258.34,0,0,258.34,0.01,0.01,258.34,0.01,0.01
258.94,0,0,258.94,0.01,0.01,258.94,0.01,0.01
259.54,0,0,259.54,0.01,0.01,259.54,0.01,0.01
260.14,0,0,260.14,0.01,0.01,260.14,0.01,0.01
260.74,0,0,260.74,0.01,0.01,260.74,0.01,0.01
261.35,0,0,261.35,0.01,0.01,261.35,0.01,0.01
261.95,0,0,261.95,0.01,0.01,261.95,0.01,0.01
262.55,0,0,262.55,0.01,0.01,262.55,0.01,0.01
263.15,0,0,263.15,0.01,0.01,263.15,0.01,0.01
263.75,0,0,263.75,0.01,0.01,263.75,0.01,0.01
264.35,0,0,264.35,0.01,0.01,264.35,0.01,0.01
264.95,0,0,264.95,0.01,0.01,264.95,0.01,0.01
265.56,0,0,265.56,0.01,0.01,265.56,0.01,0.01
266.16,0,0,266.16,0.01,0.01,266.16,0.01,0.01
266.76,0,0,266.76,0.01,0.01,266.76,0.01,0.01
267.36,0,0,267.36,0.01,0.01,267.36,0.01,0.01
267.96,0,0,267.96,0.01,0.01,267.96,0.01,0.01
268.56,0,0,268.56,0.01,0.01,268.56,0.01,0.01
269.16,0,0,269.16,0.01,0.01,269.16,0.01,0.01
269.77,0,0,269.77,0.01,0.01,269.77,0.01,0.01
270.37,0,0,270.37,0.01,0.01,270.37,0.01,0.01
270.97,0,0,270.97,0.01,0.01,270.97,0.01,0.01
271.57,0.01,0.01,271.57,0.01,0.01,271.57,0.01,0.01
272.17,0,0,272.17,0.01,0.01,272.17,0.01,0.01
272.77,0.01,0.01,272.77,0.01,0.01,272.77,0.01,0.01
273.37,0.01,0.01,273.37,0.01,0.01,273.37,0.01,0.01
273.97,0.01,0.01,273.97,0.01,0.01,273.97,0.01,0.01
274.58,0.01,0.01,274.58,0.01,0.01,274.58,0.01,0.01
275.18,0.01,0.01,275.18,0.01,0.01,275.18,0.01,0.01
275.78,0.01,0.01,275.78,0.01,0.01,275.78,0.01,0.01
276.38,0.01,0.01,276.38,0.01,0.01,276.38,0.01,0.01
276.98,0.01,0.01,276.98,0.01,0.01,276.98,0.01,0.01
277.58,0.01,0.01,277.58,0.01,0.01,277.58,0.01,0.01
278.18,0.01,0.01,278.18,0.01,0.01,278.18,0.01,0.01
278.78,0.01,0.01,278.78,0.01,0.01,278.78,0.01,0.01
279.38,0.01,0.01,279.38,0.01,0.01,279.38,0.01,0.01
279.98,0.01,0.01,279.98,0.01,0.01,279.98,0.01,0.01
280.58,0.01,0.01,280.58,0.01,0.01,280.58,0.01,0.01
281.19,0.01,0.01,281.19,0.01,0.01,281.19,0.01,0.01
281.79,0.01,0.01,281.79,0.01,0.01,281.79,0.01,0.01
282.39,0.01,0.01,282.39,0.01,0.01,282.39,0.01,0.01
282.99,0.01,0.01,282.99,0.01,0.01,282.99,0.01,0.01
283.59,0.01,0.01,283.59,0.01,0.01,283.59,0.01,0.01
284.19,0.01,0.01,284.19,0.01,0.01,284.19,0.01,0.01
284.79,0.01,0.01,284.79,0.01,0.01,284.79,0.01,0.01
285.39,0.01,0.01,285.39,0.01,0.01,285.39,0.01,0.01
285.99,0.01,0.01,285.99,0.01,0.01,285.99,0.01,0.01
286.59,0.01,0.01,286.59,0.01,0.01,286.59,0.01,0.01
287.19,0.01,0.01,287.19,0.01,0.01,287.19,0.01,0.01
287.79,0.01,0.01,287.79,0.01,0.01,287.79,0.01,0.01
288.39,0.01,0.01,288.39,0.01,0.01,288.39,0.01,0.01
288.99,0.01,0.01,288.99,0.01,0.01,288.99,0.01,0.01
289.59,0.01,0.01,289.59,0.01,0.01,289.59,0.01,0.01
290.19,0.01,0.01,290.19,0.01,0.01,290.19,0.01,0.01
290.79,0.01,0.01,290.79,0.01,0.01,290.79,0.01,0.01
291.39,0.01,0.01,291.39,0.01,0.01,291.39,0.01,0.01
291.99,0.01,0.01,291.99,0.01,0.01,291.99,0.01,0.01
292.59,0.01,0.01,292.59,0.01,0.01,292.59,0.01,0.01
293.19,0.01,0.01,293.19,0.01,0.01,293.19,0.01,0.01
293.79,0.01,0.01,293.79,0.01,0.01,293.79,0.01,0.01
294.4,0.01,0.01,294.4,0.01,0.01,294.4,0.01,0.01
295,0.01,0.01,295,0.01,0.01,295,0.01,0.01
295.6,0.01,0.01,295.6,0.01,0.01,295.6,0.01,0.01
296.2,0.01,0.01,296.2,0.01,0.01,296.2,0.01,0.01
296.8,0.01,0.01,296.8,0.01,0.01,296.8,0.01,0.01
297.4,0.01,0.01,297.4,0.01,0.01,297.4,0.01,0.01
298,0.01,0.01,298,0.01,0.01,298,0.01,0.01
298.6,0.01,0.01,298.6,0.01,0.01,298.6,0.01,0.01
299.2,0.01,0.01,299.2,0.01,0.01,299.2,0.01,0.01
299.8,0.01,0.01,299.8,0.01,0.01,299.8,0.01,0.01
300.4,0.01,0.01,300.4,0.01,0.01,300.4,0.01,0.01
301,0.01,0.01,301,0.01,0.01,301,0.01,0.01
